bin,COG_group,total_metabolic_ORFs
NAT-85, 8 C 201 E 67 F 202 G 173 H 116 I 201 P,968
NAT-88, 4 C 87 E 53 F 37 G 81 H 77 I 40 P,379
NAT-89, 22 C 215 E 78 F 119 G 156 H 174 I 140 P,904
NAT-8, 33 C 267 E 100 F 169 G 251 H 334 I 217 P,1371
NAT-90, 1 C 97 E 53 F 68 G 77 H 60 I 69 P,425
NAT-91, 11 C 198 E 67 F 94 G 150 H 189 I 118 P,827
NAT-92, 9 C 204 E 67 F 145 G 165 H 154 I 162 P,906
NAT-94, 31 C 251 E 95 F 138 G 260 H 388 I 247 P,1410
NAT-96, 7 C 64 E 60 F 37 G 74 H 67 I 33 P,342
NAT-9, 15 C 298 E 99 F 208 G 146 H 151 I 167 P,1084
RS-341, 3 C 92 E 54 F 70 G 94 H 72 I 42 P,427
RS-342, 18 C 201 E 75 F 90 G 179 H 145 I 187 P,895
RS-344, 7 C 110 E 49 F 65 G 126 H 42 I 54 P,453
RS-346, 8 C 133 E 57 F 71 G 171 H 114 I 51 P,605
RS-348, 9 C 81 E 62 F 53 G 80 H 77 I 38 P,400
RS-349, 10 C 170 E 84 F 99 G 163 H 213 I 63 P,802
RS-350, 9 C 129 E 62 F 64 G 97 H 76 I 75 P,512
RS-352, 6 C 84 E 50 F 43 G 61 H 65 I 33 P,342
RS-355, 37 C 507 E 107 F 334 G 247 H 264 I 301 P,1797
RS-357, 18 C 301 E 89 F 134 G 202 H 273 I 125 P,1142
RS-359, 15 C 100 E 44 F 114 G 89 H 65 I 92 P,519
RS-361, 20 C 297 E 78 F 166 G 255 H 249 I 126 P,1191
RS-363, 18 C 222 E 92 F 104 G 185 H 201 I 111 P,933
RS-364, 9 C 216 E 87 F 113 G 146 H 139 I 113 P,823
RS-365, 3 C 100 E 47 F 69 G 64 H 76 I 36 P,395
RS-367, 12 C 197 E 65 F 91 G 161 H 187 I 146 P,859
RS-371, 8 C 197 E 72 F 139 G 247 H 177 I 79 P,919
RS-372, 6 C 119 E 40 F 51 G 84 H 52 I 81 P,433
RS-373, 17 C 233 E 61 F 78 G 122 H 104 I 82 P,697
RS-376, 59 C 270 E 86 F 386 G 190 H 153 I 331 P,1475
RS-380, 19 C 378 E 78 F 195 G 275 H 287 I 119 P,1351
RS-381, 15 C 130 E 49 F 69 G 147 H 172 I 56 P,638
RS-382, 24 C 281 E 56 F 189 G 257 H 208 I 142 P,1157
RS-383, 34 C 340 E 79 F 285 G 260 H 211 I 219 P,1428
RS-384, 5 C 199 E 70 F 70 G 136 H 140 I 65 P,685
RS-386, 21 C 301 E 74 F 206 G 280 H 283 I 155 P,1320
RS-387, 3 C 181 E 79 F 81 G 146 H 197 I 81 P,768
RS-388, 10 C 213 E 71 F 168 G 188 H 129 I 100 P,879
RS-389, 5 C 140 E 52 F 62 G 59 H 88 I 55 P,461
RS-391, 9 C 183 E 77 F 104 G 202 H 276 I 77 P,928
RS-392, 6 C 118 E 56 F 30 G 67 H 59 I 36 P,372
RS-394, 12 C 180 E 55 F 104 G 258 H 163 I 86 P,858
RS-395, 24 C 295 E 64 F 280 G 224 H 168 I 161 P,1216
RS-397, 10 C 176 E 55 F 78 G 135 H 159 I 120 P,733
RS-398, 40 C 352 E 77 F 373 G 277 H 201 I 200 P,1520
RS-401, 4 C 69 E 54 F 50 G 71 H 66 I 34 P,348
RS-402, 4 C 91 E 57 F 63 G 91 H 73 I 60 P,439
RS-404, 9 C 159 E 68 F 138 G 112 H 93 I 75 P,654
RS-406, 7 C 102 E 63 F 55 G 91 H 75 I 58 P,451
RS-408, 3 C 132 E 53 F 87 G 85 H 76 I 48 P,484
RS-412, 13 C 292 E 92 F 116 G 137 H 126 I 78 P,854
RS-415, 11 C 215 E 76 F 91 G 154 H 136 I 81 P,764
RS-416, 8 C 202 E 75 F 109 G 236 H 158 I 70 P,858
RS-419, 11 C 124 E 56 F 97 G 81 H 53 I 50 P,472
RS-420, 8 C 152 E 63 F 86 G 128 H 81 I 66 P,584
RS-421, 6 C 115 E 63 F 81 G 78 H 97 I 60 P,500
RS-422, 21 C 304 E 81 F 120 G 171 H 133 I 93 P,923
RS-423, 17 C 292 E 83 F 263 G 211 H 132 I 205 P,1203
RS-426, 41 C 315 E 89 F 202 G 325 H 448 I 199 P,1619
RS-428, 1 C 106 E 55 F 81 G 105 H 68 I 71 P,487
RS-431, 3 C 101 E 60 F 67 G 97 H 86 I 48 P,462
RS-432, 6 C 74 E 63 F 43 G 83 H 70 I 42 P,381
RS-434, 15 C 284 E 69 F 97 G 192 H 172 I 86 P,915
RS-435, 10 C 162 E 51 F 65 G 166 H 104 I 55 P,613
RS-438, 2 C 154 E 63 F 72 G 99 H 70 I 67 P,527
RS-439, 2 C 123 E 53 F 69 G 95 H 69 I 52 P,463
RS-440, 5 C 80 E 66 F 42 G 78 H 71 I 47 P,389
RS-447, 12 C 224 E 80 F 98 G 155 H 186 I 84 P,839
RS-453, 10 C 140 E 63 F 78 G 124 H 105 I 61 P,581
RS-454, 7 C 213 E 76 F 90 G 156 H 202 I 74 P,818
RS-456, 29 C 251 E 86 F 231 G 234 H 190 I 139 P,1160
RS-458, 17 C 202 E 64 F 72 G 134 H 109 I 107 P,705
RS-460, 6 C 183 E 57 F 112 G 221 H 277 I 87 P,943
RS-464, 31 C 195 E 65 F 154 G 184 H 132 I 95 P,856
RS-465, 22 C 207 E 68 F 148 G 217 H 308 I 119 P,1089
RS-467, 4 C 112 E 62 F 74 G 94 H 102 I 68 P,516
RS-472, 7 C 79 E 65 F 40 G 85 H 62 I 36 P,374
RS-508, 17 C 165 E 48 F 79 G 128 H 151 I 71 P,659
RS-535, 6 C 122 E 55 F 57 G 135 H 114 I 50 P,539
RS-604, 6 C 71 E 71 F 47 G 90 H 84 I 36 P,405
RS-615, 45 C 780 E 103 F 234 G 409 H 433 I 248 P,2252
RS-626, 7 C 90 E 42 F 51 G 92 H 127 I 50 P,459
RS-648, 10 C 165 E 70 F 98 G 140 H 154 I 53 P,690
RS-652, 10 C 232 E 55 F 137 G 169 H 110 I 94 P,807
RS-654, 12 C 104 E 47 F 57 G 113 H 55 I 51 P,439
RS-665, 6 C 139 E 50 F 96 G 127 H 92 I 62 P,572
RS-668, 18 C 172 E 51 F 68 G 136 H 86 I 68 P,599
RS-678, 7 C 107 E 39 F 52 G 81 H 53 I 44 P,383
RS-697, 20 C 243 E 67 F 118 G 236 H 233 I 100 P,1017
RS-797, 15 C 256 E 55 F 148 G 164 H 196 I 99 P,933
RS-814, 6 C 99 E 60 F 30 G 78 H 60 I 29 P,362
RS-815, 9 C 74 E 41 F 39 G 67 H 38 I 36 P,304
RS-816, 3 C 71 E 56 F 55 G 62 H 66 I 37 P,350
RS-817, 10 C 185 E 67 F 102 G 160 H 203 I 97 P,824
RS-819, 9 C 161 E 62 F 92 G 122 H 94 I 60 P,600
RS-820, 8 C 190 E 78 F 117 G 174 H 147 I 80 P,794
RS-821, 27 C 353 E 102 F 342 G 265 H 142 I 264 P,1495
RS-822, 38 C 385 E 92 F 439 G 286 H 175 I 201 P,1616
RS-826, 15 C 431 E 105 F 122 G 194 H 144 I 131 P,1142
IN-1077, 4 C 175 E 72 F 96 G 183 H 265 I 72 P,867
IN-10, 12 C 227 E 77 F 175 G 157 H 143 I 141 P,932
IN-11, 16 C 225 E 91 F 144 G 177 H 215 I 207 P,1075
IN-1213, 11 C 173 E 67 F 111 G 154 H 195 I 91 P,802
IN-12, 15 C 200 E 69 F 105 G 176 H 86 I 198 P,849
IN-1311, 28 C 254 E 65 F 182 G 257 H 198 I 145 P,1129
IN-13, 13 C 266 E 77 F 205 G 174 H 161 I 205 P,1101
IN-14, 12 C 185 E 75 F 93 G 159 H 135 I 125 P,784
IN-15, 25 C 206 E 59 F 96 G 133 H 153 I 137 P,809
IN-16, 12 C 185 E 64 F 129 G 137 H 141 I 198 P,866
IN-17, 7 C 171 E 69 F 113 G 137 H 110 I 154 P,761
IN-18, 17 C 476 E 83 F 201 G 246 H 213 I 208 P,1444
IN-19, 21 C 476 E 110 F 337 G 228 H 200 I 262 P,1634
IN-1, 30 C 306 E 97 F 187 G 181 H 177 I 239 P,1217
IN-20, 16 C 198 E 68 F 121 G 176 H 182 I 145 P,906
IN-21, 24 C 340 E 85 F 186 G 166 H 358 I 182 P,1341
IN-22, 14 C 169 E 68 F 84 G 132 H 135 I 109 P,711
IN-23, 3 C 165 E 61 F 77 G 138 H 115 I 127 P,686
IN-25, 12 C 239 E 103 F 239 G 164 H 138 I 145 P,1040
IN-27, 7 C 194 E 47 F 79 G 124 H 113 I 100 P,664
IN-28, 22 C 211 E 70 F 124 G 177 H 203 I 160 P,967
IN-29, 16 C 188 E 65 F 79 G 190 H 257 I 217 P,1012
IN-2, 27 C 331 E 94 F 204 G 181 H 188 I 241 P,1266
IN-32, 23 C 253 E 84 F 173 G 183 H 153 I 186 P,1055
IN-35, 6 C 96 E 71 F 54 G 88 H 82 I 45 P,442
IN-37, 5 C 75 E 60 F 42 G 71 H 77 I 35 P,365
IN-3, 27 C 279 E 114 F 138 G 192 H 238 I 205 P,1193
IN-40, 17 C 171 E 46 F 53 G 118 H 94 I 106 P,605
IN-42, 17 C 142 E 58 F 148 G 119 H 83 I 179 P,746
IN-43, 9 C 179 E 70 F 145 G 116 H 100 I 82 P,701
IN-47, 24 C 368 E 84 F 85 G 177 H 152 I 108 P,998
IN-48, 15 C 160 E 69 F 153 G 122 H 100 I 152 P,771
IN-5, 18 C 205 E 73 F 111 G 181 H 95 I 225 P,908
IN-6, 31 C 352 E 114 F 157 G 212 H 250 I 240 P,1356
IN-7, 42 C 347 E 87 F 151 G 194 H 166 I 214 P,1201
IN-8, 16 C 230 E 87 F 136 G 203 H 211 I 201 P,1084
IN-912, 25 C 269 E 98 F 110 G 188 H 178 I 189 P,1057
IN-918, 4 C 98 E 63 F 28 G 66 H 62 I 46 P,367
IN-919, 9 C 189 E 79 F 97 G 190 H 274 I 66 P,904
IN-921, 12 C 142 E 60 F 122 G 115 H 87 I 107 P,645
IN-922, 23 C 249 E 92 F 156 G 144 H 150 I 190 P,1004
IN-924, 10 C 176 E 85 F 91 G 164 H 219 I 84 P,829
IN-928, 24 C 227 E 62 F 92 G 150 H 228 I 171 P,954
IN-929, 14 C 202 E 59 F 104 G 159 H 201 I 91 P,830
IN-961, 5 C 60 E 60 F 38 G 62 H 63 I 20 P,308
IN-9, 34 C 250 E 91 F 95 G 187 H 190 I 174 P,1021
MED-1001, 4 C 140 E 49 F 71 G 100 H 79 I 64 P,507
MED-1008, 18 C 292 E 73 F 129 G 142 H 122 I 91 P,867
MED-1017, 4 C 106 E 71 F 88 G 70 H 51 I 47 P,437
MED-1047, 7 C 74 E 56 F 32 G 90 H 66 I 37 P,362
MED-104, 6 C 135 E 40 F 42 G 63 H 56 I 26 P,368
MED-1076, 4 C 120 E 49 F 63 G 81 H 64 I 59 P,440
MED-1093, 5 C 72 E 80 F 54 G 94 H 82 I 51 P,438
MED-1094, 1 C 90 E 60 F 55 G 97 H 95 I 59 P,457
MED-1105, 7 C 142 E 63 F 74 G 66 H 97 I 57 P,506
MED-1116, 5 C 81 E 45 F 51 G 71 H 48 I 23 P,324
MED-1122, 23 C 157 E 65 F 207 G 143 H 115 I 199 P,909
MED-1153, 6 C 111 E 43 F 56 G 87 H 55 I 26 P,384
MED-1155, 11 C 180 E 62 F 69 G 151 H 109 I 66 P,648
MED-1190, 17 C 142 E 58 F 55 G 140 H 188 I 88 P,688
MED-1223, 4 C 92 E 55 F 27 G 77 H 58 I 32 P,345
MED-1227, 11 C 313 E 90 F 139 G 165 H 144 I 79 P,941
MED-1233, 6 C 89 E 54 F 87 G 70 H 57 I 51 P,414
MED-1247, 1 C 118 E 49 F 45 G 101 H 59 I 44 P,417
MED-1261, 12 C 133 E 59 F 46 G 148 H 56 I 70 P,524
MED-1269, 10 C 191 E 64 F 94 G 163 H 236 I 72 P,830
MED-1270, 6 C 103 E 59 F 53 G 122 H 148 I 41 P,532
MED-580, 20 C 192 E 63 F 154 G 269 H 388 I 146 P,1232
MED-581, 15 C 179 E 61 F 101 G 144 H 131 I 94 P,725
MED-582, 12 C 140 E 51 F 76 G 152 H 78 I 86 P,595
MED-584, 9 C 128 E 57 F 99 G 106 H 116 I 102 P,617
MED-585, 20 C 237 E 65 F 130 G 144 H 174 I 101 P,871
MED-586, 3 C 113 E 46 F 72 G 64 H 58 I 46 P,402
MED-587, 11 C 222 E 86 F 117 G 154 H 145 I 127 P,862
MED-588, 16 C 233 E 89 F 173 G 203 H 123 I 196 P,1033
MED-589, 6 C 140 E 72 F 124 G 130 H 123 I 91 P,686
MED-590, 15 C 130 E 53 F 145 G 111 H 83 I 126 P,663
MED-591, 11 C 127 E 48 F 72 G 102 H 68 I 72 P,500
MED-592, 17 C 278 E 88 F 147 G 170 H 141 I 204 P,1045
MED-593, 6 C 113 E 58 F 64 G 99 H 60 I 55 P,455
MED-594, 17 C 225 E 101 F 123 G 223 H 323 I 108 P,1120
MED-595, 13 C 343 E 81 F 104 G 161 H 138 I 114 P,954
MED-596, 3 C 106 E 63 F 68 G 97 H 88 I 61 P,486
MED-597, 21 C 156 E 67 F 198 G 142 H 112 I 289 P,985
MED-598, 3 C 74 E 56 F 44 G 75 H 77 I 34 P,363
MED-599, 16 C 266 E 72 F 235 G 195 H 113 I 207 P,1104
MED-601, 37 C 250 E 84 F 260 G 253 H 169 I 310 P,1363
MED-602, 7 C 131 E 76 F 64 G 104 H 63 I 36 P,481
MED-603, 4 C 173 E 60 F 124 G 121 H 91 I 88 P,661
MED-604, 5 C 184 E 57 F 142 G 132 H 96 I 102 P,718
MED-605, 6 C 164 E 57 F 74 G 114 H 62 I 38 P,515
MED-606, 3 C 95 E 36 F 22 G 64 H 63 I 27 P,310
MED-608, 9 C 132 E 60 F 124 G 101 H 103 I 99 P,628
MED-609, 11 C 139 E 68 F 95 G 118 H 103 I 91 P,625
MED-610, 22 C 234 E 82 F 173 G 150 H 150 I 191 P,1002
MED-611, 13 C 176 E 59 F 79 G 154 H 188 I 79 P,748
MED-613, 15 C 131 E 42 F 77 G 105 H 169 I 71 P,610
MED-614, 3 C 164 E 50 F 107 G 122 H 89 I 90 P,625
MED-615, 6 C 135 E 46 F 58 G 126 H 138 I 60 P,569
MED-616, 14 C 331 E 93 F 157 G 169 H 150 I 87 P,1001
MED-617, 6 C 128 E 58 F 51 G 131 H 71 I 45 P,490
MED-619, 1 C 138 E 47 F 57 G 108 H 64 I 60 P,475
MED-620, 16 C 376 E 79 F 198 G 199 H 263 I 148 P,1279
MED-621, 6 C 128 E 66 F 89 G 115 H 104 I 73 P,581
MED-622, 5 C 121 E 64 F 89 G 117 H 113 I 108 P,617
MED-623, 3 C 167 E 74 F 154 G 151 H 110 I 143 P,802
MED-624, 19 C 209 E 73 F 145 G 192 H 210 I 167 P,1015
MED-626, 12 C 133 E 49 F 59 G 109 H 73 I 58 P,493
MED-629, 23 C 152 E 63 F 206 G 118 H 100 I 207 P,869
MED-630, 9 C 107 E 42 F 50 G 127 H 42 I 43 P,420
MED-632, 31 C 466 E 89 F 125 G 206 H 204 I 182 P,1303
MED-633, 20 C 334 E 98 F 184 G 188 H 180 I 228 P,1232
MED-635, 23 C 152 E 53 F 178 G 126 H 94 I 178 P,804
MED-636, 14 C 219 E 58 F 144 G 139 H 132 I 123 P,829
MED-637, 12 C 191 E 75 F 149 G 117 H 106 I 102 P,752
MED-641, 14 C 134 E 59 F 65 G 103 H 118 I 57 P,550
MED-643, 29 C 215 E 76 F 192 G 190 H 124 I 112 P,938
MED-645, 6 C 79 E 55 F 45 G 78 H 77 I 37 P,377
MED-648, 3 C 128 E 61 F 113 G 82 H 106 I 76 P,569
MED-649, 1 C 110 E 56 F 52 G 85 H 61 I 60 P,425
MED-650, 11 C 115 E 62 F 105 G 158 H 44 I 83 P,578
MED-651, 2 C 90 E 64 F 56 G 95 H 77 I 50 P,434
MED-652, 6 C 141 E 62 F 66 G 149 H 77 I 54 P,555
MED-653, 14 C 221 E 66 F 125 G 168 H 188 I 159 P,941
MED-654, 2 C 172 E 63 F 119 G 119 H 89 I 62 P,626
MED-655, 21 C 178 E 56 F 205 G 133 H 104 I 188 P,885
MED-657, 6 C 150 E 70 F 60 G 159 H 75 I 64 P,584
MED-659, 28 C 203 E 68 F 233 G 137 H 114 I 215 P,998
MED-660, 24 C 220 E 75 F 165 G 273 H 403 I 150 P,1310
MED-661, 32 C 243 E 79 F 283 G 228 H 183 I 308 P,1356
MED-665, 36 C 469 E 96 F 219 G 374 H 415 I 193 P,1802
MED-666, 1 C 95 E 56 F 43 G 84 H 76 I 42 P,397
MED-667, 21 C 168 E 55 F 74 G 161 H 125 I 74 P,678
MED-668, 20 C 244 E 88 F 156 G 177 H 158 I 190 P,1033
MED-670, 14 C 83 E 33 F 96 G 79 H 35 I 81 P,421
MED-671, 7 C 162 E 72 F 156 G 124 H 111 I 113 P,745
MED-672, 24 C 205 E 75 F 143 G 277 H 363 I 136 P,1223
MED-673, 8 C 120 E 63 F 96 G 103 H 104 I 84 P,578
MED-674, 27 C 374 E 73 F 181 G 269 H 282 I 148 P,1354
MED-676, 2 C 101 E 73 F 55 G 92 H 70 I 44 P,437
MED-677, 4 C 89 E 50 F 64 G 89 H 84 I 71 P,451
MED-682, 16 C 286 E 83 F 166 G 170 H 185 I 94 P,1000
MED-689, 4 C 111 E 56 F 54 G 127 H 69 I 54 P,475
MED-690, 13 C 166 E 67 F 97 G 164 H 154 I 116 P,777
MED-692, 5 C 108 E 60 F 84 G 116 H 91 I 79 P,543
MED-694, 11 C 57 E 29 F 37 G 52 H 46 I 48 P,280
MED-695, 10 C 219 E 48 F 169 G 138 H 127 I 119 P,830
MED-696, 13 C 108 E 35 F 124 G 87 H 51 I 84 P,502
MED-697, 30 C 264 E 78 F 287 G 246 H 208 I 331 P,1444
MED-698, 22 C 203 E 80 F 138 G 210 H 298 I 139 P,1090
MED-702, 16 C 208 E 75 F 152 G 167 H 211 I 168 P,997
MED-703, 5 C 111 E 61 F 70 G 104 H 72 I 62 P,485
MED-704, 101 E 45 F 64 G 99 H 67 I 55 P,431
MED-705, 4 C 70 E 60 F 31 G 83 H 63 I 45 P,356
MED-706, 3 C 81 E 59 F 48 G 76 H 59 I 32 P,358
MED-707, 5 C 77 E 58 F 34 G 75 H 68 I 28 P,345
MED-708, 10 C 168 E 72 F 167 G 124 H 115 I 117 P,773
MED-712, 6 C 131 E 49 F 56 G 63 H 79 I 42 P,426
MED-713, 4 C 111 E 50 F 48 G 109 H 55 I 48 P,425
MED-715, 7 C 117 E 56 F 42 G 117 H 62 I 44 P,445
MED-716, 18 C 300 E 74 F 148 G 216 H 221 I 131 P,1108
MED-717, 15 C 224 E 52 F 74 G 139 H 93 I 78 P,675
MED-718, 5 C 71 E 44 F 46 G 72 H 57 I 36 P,331
MED-719, 35 C 187 E 70 F 272 G 147 H 114 I 186 P,1011
MED-721, 5 C 125 E 41 F 32 G 121 H 52 I 48 P,424
MED-725, 9 C 102 E 40 F 48 G 91 H 115 I 54 P,459
MED-728, 28 C 416 E 75 F 177 G 233 H 332 I 276 P,1537
MED-729, 13 C 124 E 57 F 63 G 133 H 68 I 80 P,538
MED-730, 11 C 127 E 48 F 50 G 115 H 122 I 45 P,518
MED-731, 5 C 119 E 54 F 47 G 115 H 63 I 49 P,452
MED-732, 8 C 124 E 57 F 70 G 74 H 58 I 50 P,441
MED-733, 8 C 157 E 67 F 101 G 84 H 99 I 81 P,597
MED-734, 3 C 128 E 80 F 80 G 130 H 111 I 89 P,621
MED-735, 3 C 187 E 60 F 133 G 125 H 86 I 86 P,680
MED-736, 4 C 107 E 56 F 95 G 93 H 71 I 54 P,480
MED-738, 5 C 76 E 61 F 40 G 86 H 70 I 31 P,369
MED-739, 3 C 108 E 56 F 67 G 92 H 53 I 60 P,439
MED-740, 5 C 94 E 51 F 38 G 106 H 31 I 44 P,369
MED-741, 4 C 144 E 65 F 137 G 127 H 68 I 131 P,676
MED-743, 4 C 113 E 73 F 64 G 105 H 83 I 39 P,481
MED-744, 11 C 128 E 69 F 77 G 101 H 71 I 76 P,533
MED-745, 12 C 329 E 86 F 288 G 148 H 136 I 131 P,1130
MED-746, 2 C 89 E 66 F 64 G 91 H 84 I 47 P,443
MED-747, 4 C 78 E 50 F 48 G 89 H 85 I 56 P,410
MED-748, 15 C 146 E 64 F 112 G 173 H 61 I 86 P,657
MED-752, 11 C 145 E 62 F 69 G 125 H 93 I 83 P,588
MED-753, 5 C 53 E 25 F 33 G 55 H 50 I 28 P,249
MED-754, 11 C 117 E 54 F 81 G 89 H 82 I 63 P,497
MED-756, 19 C 350 E 83 F 197 G 192 H 172 I 129 P,1142
MED-757, 6 C 119 E 65 F 107 G 93 H 87 I 33 P,510
MED-759, 16 C 189 E 72 F 90 G 136 H 98 I 85 P,686
MED-762, 5 C 120 E 53 F 133 G 95 H 72 I 115 P,593
MED-763, 4 C 164 E 61 F 133 G 123 H 97 I 90 P,672
MED-765, 16 C 187 E 61 F 71 G 144 H 157 I 83 P,719
MED-766, 20 C 204 E 62 F 81 G 129 H 90 I 74 P,660
MED-767, 11 C 134 E 44 F 88 G 140 H 49 I 78 P,544
MED-768, 10 C 148 E 48 F 65 G 125 H 131 I 55 P,582
MED-769, 6 C 105 E 48 F 54 G 93 H 59 I 26 P,391
MED-775, 12 C 221 E 56 F 69 G 124 H 102 I 63 P,647
MED-777, 5 C 84 E 68 F 48 G 92 H 78 I 40 P,415
MED-778, 9 C 122 E 48 F 58 G 122 H 64 I 63 P,486
MED-779, 3 C 133 E 48 F 70 G 99 H 88 I 73 P,514
MED-783, 3 C 89 E 41 F 50 G 80 H 70 I 61 P,394
MED-792, 8 C 230 E 71 F 112 G 159 H 165 I 99 P,844
MED-796, 6 C 136 E 54 F 115 G 116 H 88 I 118 P,633
MED-797, 28 C 247 E 73 F 170 G 209 H 145 I 145 P,1017
MED-801, 7 C 95 E 43 F 36 G 89 H 141 I 79 P,490
MED-803, 14 C 272 E 77 F 132 G 156 H 144 I 89 P,884
MED-806, 6 C 164 E 62 F 126 G 105 H 107 I 97 P,667
MED-809, 18 C 114 E 48 F 102 G 111 H 50 I 85 P,528
MED-810, 25 C 188 E 79 F 129 G 226 H 282 I 119 P,1048
MED-813, 9 C 168 E 65 F 100 G 129 H 94 I 73 P,638
MED-814, 23 C 210 E 75 F 117 G 158 H 101 I 102 P,786
MED-815, 22 C 235 E 74 F 119 G 240 H 303 I 142 P,1135
MED-818, 3 C 126 E 45 F 57 G 110 H 66 I 54 P,461
MED-819, 2 C 97 E 58 F 69 G 90 H 68 I 57 P,441
MED-820, 13 C 163 E 63 F 65 G 211 H 163 I 77 P,755
MED-825, 18 C 193 E 59 F 100 G 181 H 187 I 102 P,840
MED-827, 6 C 85 E 42 F 41 G 82 H 43 I 15 P,314
MED-828, 26 C 155 E 52 F 104 G 138 H 120 I 86 P,681
MED-829, 1 C 91 E 51 F 71 G 61 H 64 I 41 P,380
MED-830, 15 C 145 E 44 F 83 G 121 H 145 I 86 P,639
MED-831, 15 C 154 E 58 F 102 G 156 H 53 I 74 P,612
MED-834, 13 C 267 E 71 F 154 G 154 H 122 I 94 P,875
MED-835, 3 C 85 E 43 F 70 G 79 H 65 I 36 P,381
MED-837, 6 C 194 E 89 F 79 G 161 H 191 I 94 P,814
MED-841, 5 C 40 E 20 F 47 G 44 H 44 I 36 P,236
MED-846, 2 C 85 E 55 F 23 G 68 H 61 I 32 P,326
MED-850, 16 C 141 E 54 F 93 G 131 H 43 I 94 P,572
MED-853, 9 C 89 E 79 F 57 G 98 H 84 I 48 P,464
MED-855, 13 C 170 E 48 F 94 G 121 H 119 I 86 P,651
MED-856, 8 C 108 E 53 F 98 G 92 H 52 I 101 P,512
MED-857, 2 C 145 E 43 F 89 G 112 H 62 I 69 P,522
MED-861, 18 C 126 E 57 F 189 G 147 H 77 I 245 P,859
MED-862, 3 C 78 E 41 F 30 G 61 H 55 I 36 P,304
MED-867, 13 C 172 E 70 F 93 G 153 H 246 I 74 P,821
MED-870, 5 C 74 E 64 F 29 G 82 H 60 I 30 P,344
MED-878, 17 C 174 E 61 F 69 G 149 H 91 I 79 P,640
MED-879, 15 C 188 E 62 F 69 G 146 H 94 I 84 P,658
MED-880, 12 C 218 E 68 F 106 G 115 H 131 I 62 P,712
MED-882, 7 C 131 E 51 F 64 G 97 H 75 I 41 P,466
MED-899, 7 C 86 E 72 F 38 G 86 H 73 I 40 P,402
MED-921, 5 C 78 E 76 F 46 G 87 H 74 I 49 P,415
MED-928, 30 C 241 E 77 F 148 G 251 H 335 I 179 P,1261
MED-950, 10 C 101 E 45 F 31 G 116 H 43 I 39 P,385
MED-955, 10 C 124 E 56 F 55 G 105 H 164 I 84 P,598
MED-965, 20 C 194 E 61 F 76 G 171 H 182 I 77 P,781
MED-972, 7 C 104 E 47 F 67 G 80 H 94 I 58 P,457
MED-995, 3 C 69 E 43 F 36 G 74 H 63 I 28 P,316
SP-101, 13 C 115 E 28 F 75 G 79 H 79 I 42 P,431
SP-102, 2 C 168 E 62 F 96 G 117 H 80 I 56 P,581
SP-104, 9 C 207 E 88 F 110 G 171 H 149 I 90 P,824
SP-105, 9 C 150 E 62 F 78 G 109 H 86 I 66 P,560
SP-107, 9 C 106 E 48 F 83 G 80 H 50 I 56 P,432
SP-108, 1 C 45 E 32 F 20 G 41 H 40 I 33 P,212
SP-109, 16 C 182 E 84 F 113 G 141 H 83 I 77 P,696
SP-10, 3 C 84 E 21 F 69 G 63 H 46 I 32 P,318
SP-110, 11 C 123 E 47 F 88 G 100 H 92 I 52 P,513
SP-112, 12 C 198 E 94 F 133 G 159 H 149 I 98 P,843
SP-113, 18 C 320 E 114 F 203 G 235 H 201 I 169 P,1260
SP-114, 10 C 109 E 49 F 88 G 74 H 42 I 51 P,423
SP-115, 9 C 170 E 54 F 92 G 132 H 105 I 102 P,664
SP-118, 13 C 119 E 50 F 76 G 100 H 78 I 71 P,507
SP-119, 9 C 170 E 48 F 89 G 86 H 106 I 84 P,592
SP-11, 9 C 80 E 53 F 54 G 93 H 77 I 64 P,430
SP-121, 12 C 137 E 58 F 97 G 101 H 90 I 79 P,574
SP-123, 9 C 199 E 84 F 107 G 147 H 115 I 90 P,751
SP-124, 12 C 150 E 48 F 99 G 109 H 105 I 89 P,612
SP-125, 11 C 122 E 62 F 76 G 118 H 63 I 69 P,521
SP-126, 7 C 83 E 24 F 44 G 54 H 62 I 35 P,309
SP-127, 14 C 163 E 41 F 109 G 107 H 101 I 70 P,605
SP-128, 13 C 161 E 49 F 86 G 126 H 106 I 109 P,650
SP-12, 20 C 186 E 81 F 131 G 150 H 134 I 100 P,802
SP-131, 7 C 110 E 24 F 62 G 76 H 40 I 60 P,379
SP-133, 11 C 110 E 45 F 69 G 76 H 65 I 69 P,445
SP-135, 11 C 138 E 35 F 85 G 75 H 119 I 76 P,539
SP-136, 9 C 67 E 20 F 42 G 41 H 28 I 35 P,242
SP-137, 8 C 107 E 52 F 101 G 96 H 110 I 85 P,559
SP-138, 7 C 95 E 34 F 92 G 67 H 69 I 81 P,445
SP-13, 26 E 5 F 10 G 11 H 15 I 10 P,77
SP-140, 16 C 223 E 105 F 141 G 203 H 173 I 124 P,985
SP-141, 1 C 36 E 16 F 27 G 35 H 36 I 33 P,184
SP-142, 4 C 52 E 23 F 61 G 40 H 41 I 27 P,248
SP-144, 5 C 107 E 43 F 64 G 64 H 67 I 67 P,417
SP-145, 4 C 83 E 46 F 48 G 78 H 71 I 77 P,407
SP-149, 8 C 95 E 63 F 103 G 113 H 77 I 57 P,516
