COG0477	GEPR	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/Inorganic_ion_transport_and_metabolism/General_function_prediction_only	MFS family permease
COG0461	F	Nucleotide_transport_and_metabolism	Orotate phosphoribosyltransferase
COG0503	F	Nucleotide_transport_and_metabolism	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
COG0504	F	Nucleotide_transport_and_metabolism	CTP synthase (UTP-ammonia lyase)
COG0516	F	Nucleotide_transport_and_metabolism	IMP dehydrogenase/GMP reductase
COG0518	F	Nucleotide_transport_and_metabolism	GMP synthase - Glutamine amidotransferase domain
COG0519	F	Nucleotide_transport_and_metabolism	"GMP synthase, PP-ATPase domain/subunit"
COG0528	F	Nucleotide_transport_and_metabolism	Uridylate kinase
COG0540	F	Nucleotide_transport_and_metabolism	"Aspartate carbamoyltransferase, catalytic chain"
COG0563	F	Nucleotide_transport_and_metabolism	Adenylate kinase or related kinase
COG0572	F	Nucleotide_transport_and_metabolism	Uridine kinase
COG0618	F	Nucleotide_transport_and_metabolism	"nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs"
COG0634	F	Nucleotide_transport_and_metabolism	Hypoxanthine-guanine phosphoribosyltransferase
COG0647	F	Nucleotide_transport_and_metabolism	"Ribonucleotide monophosphatase NagD, HAD superfamily"
COG0717	F	Nucleotide_transport_and_metabolism	Deoxycytidine triphosphate deaminase
COG0775	F	Nucleotide_transport_and_metabolism	Nucleoside phosphorylase
COG0788	F	Nucleotide_transport_and_metabolism	Formyltetrahydrofolate hydrolase
COG0813	F	Nucleotide_transport_and_metabolism	Purine-nucleoside phosphorylase
COG0856	F	Nucleotide_transport_and_metabolism	Orotate phosphoribosyltransferase homolog
COG1001	F	Nucleotide_transport_and_metabolism	Adenine deaminase
COG1051	F	Nucleotide_transport_and_metabolism	"ADP-ribose pyrophosphatase YjhB, NUDIX family"
COG1102	F	Nucleotide_transport_and_metabolism	Cytidylate kinase
COG1146	F	Nucleotide_transport_and_metabolism	"NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit"
COG1328	F	Nucleotide_transport_and_metabolism	Anaerobic ribonucleoside-triphosphate reductase
COG1351	F	Nucleotide_transport_and_metabolism	Thymidylate synthase ThyX
COG1428	F	Nucleotide_transport_and_metabolism	Deoxyadenosine/deoxycytidine kinase
COG1435	F	Nucleotide_transport_and_metabolism	Thymidine kinase
COG1457	F	Nucleotide_transport_and_metabolism	Purine-cytosine permease or related protein
COG1618	F	Nucleotide_transport_and_metabolism	Nucleoside-triphosphatase THEP1
COG1691	F	Nucleotide_transport_and_metabolism	NCAIR mutase (PurE)-related protein
COG1759	F	Nucleotide_transport_and_metabolism	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis)
COG1780	F	Nucleotide_transport_and_metabolism	Protein involved in ribonucleotide reduction
COG1781	F	Nucleotide_transport_and_metabolism	"Aspartate carbamoyltransferase, regulatory subunit"
COG1816	F	Nucleotide_transport_and_metabolism	Adenosine deaminase
COG1828	F	Nucleotide_transport_and_metabolism	"Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component"
COG1839	F	Nucleotide_transport_and_metabolism	Adenosine/AMP kinase
COG1864	F	Nucleotide_transport_and_metabolism	"DNA/RNA endonuclease G, NUC1"
COG1936	F	Nucleotide_transport_and_metabolism	Broad-specificity NMP kinase
COG1957	F	Nucleotide_transport_and_metabolism	Inosine-uridine nucleoside N-ribohydrolase
COG1972	F	Nucleotide_transport_and_metabolism	Nucleoside permease NupC
COG2019	F	Nucleotide_transport_and_metabolism	Archaeal adenylate kinase
COG2065	F	Nucleotide_transport_and_metabolism	Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase
COG2131	F	Nucleotide_transport_and_metabolism	Deoxycytidylate deaminase
COG2233	F	Nucleotide_transport_and_metabolism	Xanthine/uracil permease
COG2252	F	Nucleotide_transport_and_metabolism	"Xanthine/uracil/vitamin C permease, AzgA family"
COG2313	F	Nucleotide_transport_and_metabolism	Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)
COG2351	F	Nucleotide_transport_and_metabolism	"5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family"
COG2429	F	Nucleotide_transport_and_metabolism	Archaeal GTP cyclohydrolase III
COG2759	F	Nucleotide_transport_and_metabolism	Formyltetrahydrofolate synthetase
COG2816	F	Nucleotide_transport_and_metabolism	"NADH pyrophosphatase NudC, Nudix superfamily"
COG2820	F	Nucleotide_transport_and_metabolism	Uridine phosphorylase
COG3072	F	Nucleotide_transport_and_metabolism	Adenylate cyclase
COG3194	F	Nucleotide_transport_and_metabolism	Ureidoglycolate hydrolase (allantoin degradation)
COG3195	F	Nucleotide_transport_and_metabolism	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase
COG3199	F	Nucleotide_transport_and_metabolism	Predicted polyphosphate- or ATP-dependent NAD kinase
COG3363	F	Nucleotide_transport_and_metabolism	Archaeal IMP cyclohydrolase
COG3613	F	Nucleotide_transport_and_metabolism	Nucleoside 2-deoxyribosyltransferase
COG4027	F	Nucleotide_transport_and_metabolism	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase
COG4266	F	Nucleotide_transport_and_metabolism	Allantoicase
COG4290	F	Nucleotide_transport_and_metabolism	Guanyl-specific ribonuclease Sa
COG4317	F	Nucleotide_transport_and_metabolism	"Xanthosine utilization system component, XapX domain"
COG4360	F	Nucleotide_transport_and_metabolism	"ATP adenylyltransferase (5',5'''-P-1,P-4-tetraphosphate phosphorylase II)"
COG4502	F	Nucleotide_transport_and_metabolism	5'(3')-deoxyribonucleotidase
COG4508	F	Nucleotide_transport_and_metabolism	"Dimeric dUTPase, all-alpha-NTP-PPase (MazG) superfamily"
COG4630	F	Nucleotide_transport_and_metabolism	"Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A"
COG4631	F	Nucleotide_transport_and_metabolism	"Xanthine dehydrogenase, molybdopterin-binding subunit B"
COG4741	F	Nucleotide_transport_and_metabolism	Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase
COG4855	F	Nucleotide_transport_and_metabolism	Uncharacterized protein
COG5042	F	Nucleotide_transport_and_metabolism	Purine nucleoside permease
COG5371	F	Nucleotide_transport_and_metabolism	Golgi nucleoside diphosphatase
COG0462	FE	Nucleotide_transport_and_metabolism/Amino_acid_transport_and_metabolism	Phosphoribosylpyrophosphate synthetase
COG0537	FGR	Nucleotide_transport_and_metabolism/Carbohydrate_transport_and_metabolism/General_function_prediction_only	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase
COG1953	FH	Nucleotide_transport_and_metabolism/Coenzyme_transport_and_metabolism	Cytosine/uracil/thiamine/allantoin permease
COG1860	FL	Nucleotide_transport_and_metabolism/Replication_recombination_repair	"Uncharacterized conserved protein, UPF0179 family"
COG0402	FR	Nucleotide_transport_and_metabolism/General_function_prediction_only	Cytosine/adenosine deaminase or related metal-dependent hydrolase
COG1896	FR	Nucleotide_transport_and_metabolism/General_function_prediction_only	5'-deoxynucleotidase YfbR and related HD superfamily hydrolases
COG4119	FR	Nucleotide_transport_and_metabolism/General_function_prediction_only	"Predicted NTP pyrophosphohydrolase, NUDIX family"
COG2357	FT	Nucleotide_transport_and_metabolism/Signal_transduction_mechanisms	ppGpp synthetase catalytic domain (RelA/SpoT-type nucleotidyltranferase)
COG0248	FTP	Nucleotide_transport_and_metabolism/Signal_transduction_mechanisms/Inorganic_ion_transport_and_metabolism	Exopolyphosphatase/pppGpp-phosphohydrolase
COG0737	FV	Nucleotide_transport_and_metabolism/Defense_mechanisms	"2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family"
COG0756	FV	Nucleotide_transport_and_metabolism/Defense_mechanisms	dUTPase
COG1986	FV	Nucleotide_transport_and_metabolism/Defense_mechanisms	"Non-canonical (house-cleaning) NTP pyrophosphatase, all-alpha NTP-PPase family"
COG0021	G	Carbohydrate_transport_and_metabolism	Transketolase
COG0033	G	Carbohydrate_transport_and_metabolism	Phosphoglucomutase
COG0036	G	Carbohydrate_transport_and_metabolism	Pentose-5-phosphate-3-epimerase
COG0057	G	Carbohydrate_transport_and_metabolism	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058	G	Carbohydrate_transport_and_metabolism	Glucan phosphorylase
COG0120	G	Carbohydrate_transport_and_metabolism	Ribose 5-phosphate isomerase
COG0126	G	Carbohydrate_transport_and_metabolism	3-phosphoglycerate kinase
COG0148	G	Carbohydrate_transport_and_metabolism	Enolase
COG0149	G	Carbohydrate_transport_and_metabolism	Triosephosphate isomerase
COG0153	G	Carbohydrate_transport_and_metabolism	Galactokinase
COG0158	G	Carbohydrate_transport_and_metabolism	"Fructose-1,6-bisphosphatase"
COG0166	G	Carbohydrate_transport_and_metabolism	Glucose-6-phosphate isomerase
COG0176	G	Carbohydrate_transport_and_metabolism	Transaldolase
COG0191	G	Carbohydrate_transport_and_metabolism	Fructose/tagatose bisphosphate aldolase
COG0205	G	Carbohydrate_transport_and_metabolism	6-phosphofructokinase
COG0235	G	Carbohydrate_transport_and_metabolism	Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase
COG0246	G	Carbohydrate_transport_and_metabolism	Mannitol-1-phosphate/altronate dehydrogenases
COG0269	G	Carbohydrate_transport_and_metabolism	3-keto-L-gulonate-6-phosphate decarboxylase
COG0279	G	Carbohydrate_transport_and_metabolism	Phosphoheptose isomerase
COG0296	G	Carbohydrate_transport_and_metabolism	"1,4-alpha-glucan branching enzyme"
COG0297	G	Carbohydrate_transport_and_metabolism	Glycogen synthase
COG0362	G	Carbohydrate_transport_and_metabolism	6-phosphogluconate dehydrogenase
COG0363	G	Carbohydrate_transport_and_metabolism	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
COG0364	G	Carbohydrate_transport_and_metabolism	Glucose-6-phosphate 1-dehydrogenase
COG0366	G	Carbohydrate_transport_and_metabolism	Glycosidase
COG0380	G	Carbohydrate_transport_and_metabolism	Trehalose-6-phosphate synthase
COG0383	G	Carbohydrate_transport_and_metabolism	Alpha-mannosidase
COG0395	G	Carbohydrate_transport_and_metabolism	"ABC-type glycerol-3-phosphate transport system, permease component"
COG0406	G	Carbohydrate_transport_and_metabolism	Broad specificity phosphatase PhoE
COG0448	G	Carbohydrate_transport_and_metabolism	ADP-glucose pyrophosphorylase
COG0469	G	Carbohydrate_transport_and_metabolism	Pyruvate kinase
COG0471	G	Carbohydrate_transport_and_metabolism	Di- and tricarboxylate transporter
COG0483	G	Carbohydrate_transport_and_metabolism	"Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family"
COG0524	G	Carbohydrate_transport_and_metabolism	"Sugar or nucleoside kinase, ribokinase family"
COG0574	G	Carbohydrate_transport_and_metabolism	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase
COG0579	G	Carbohydrate_transport_and_metabolism	L-2-hydroxyglutarate oxidase LhgO
COG0580	G	Carbohydrate_transport_and_metabolism	Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family)
COG0588	G	Carbohydrate_transport_and_metabolism	Phosphoglycerate mutase (BPG-dependent)
COG0662	G	Carbohydrate_transport_and_metabolism	"Mannose-6-phosphate isomerase, cupin superfamily"
COG0676	G	Carbohydrate_transport_and_metabolism	D-hexose-6-phosphate mutarotase
COG0696	G	Carbohydrate_transport_and_metabolism	"Phosphoglycerate mutase (BPG-independent, AlkP superfamily)"
COG0698	G	Carbohydrate_transport_and_metabolism	Ribose 5-phosphate isomerase RpiB
COG0738	G	Carbohydrate_transport_and_metabolism	Fucose permease
COG0800	G	Carbohydrate_transport_and_metabolism	2-keto-3-deoxy-6-phosphogluconate aldolase
COG0837	G	Carbohydrate_transport_and_metabolism	Glucokinase
COG1015	G	Carbohydrate_transport_and_metabolism	Phosphopentomutase
COG1023	G	Carbohydrate_transport_and_metabolism	6-phosphogluconate dehydrogenase (decarboxylating)
COG1064	G	Carbohydrate_transport_and_metabolism	"D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family"
COG1069	G	Carbohydrate_transport_and_metabolism	Ribulose kinase
COG1070	G	Carbohydrate_transport_and_metabolism	Sugar (pentulose or hexulose) kinase
COG1080	G	Carbohydrate_transport_and_metabolism	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
COG1082	G	Carbohydrate_transport_and_metabolism	Sugar phosphate isomerase/epimerase
COG1085	G	Carbohydrate_transport_and_metabolism	Galactose-1-phosphate uridylyltransferase
COG1105	G	Carbohydrate_transport_and_metabolism	Fructose-1-phosphate kinase or kinase (PfkB)
COG1109	G	Carbohydrate_transport_and_metabolism	Phosphomannomutase
COG1129	G	Carbohydrate_transport_and_metabolism	"ABC-type sugar transport system, ATPase component"
COG1172	G	Carbohydrate_transport_and_metabolism	"Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component"
COG1175	G	Carbohydrate_transport_and_metabolism	"ABC-type sugar transport system, permease component"
COG1216	G	Carbohydrate_transport_and_metabolism	"Glycosyltransferase, GT2 family"
COG1263	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific"
COG1264	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system IIB components
COG1299	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, fructose-specific IIC component"
COG1312	G	Carbohydrate_transport_and_metabolism	D-mannonate dehydratase
COG1440	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system cellobiose-specific component IIB
COG1445	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system fructose-specific component IIB
COG1447	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system cellobiose-specific component IIA
COG1449	G	Carbohydrate_transport_and_metabolism	"Alpha-amylase/alpha-mannosidase, GH57 family"
COG1455	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system cellobiose-specific component IIC
COG1472	G	Carbohydrate_transport_and_metabolism	Periplasmic beta-glucosidase and related glycosidases
COG1482	G	Carbohydrate_transport_and_metabolism	"Mannose-6-phosphate isomerase, class I"
COG1486	G	Carbohydrate_transport_and_metabolism	"Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase"
COG1494	G	Carbohydrate_transport_and_metabolism	"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein"
COG1501	G	Carbohydrate_transport_and_metabolism	"Alpha-glucosidase, glycosyl hydrolase family GH31"
COG1523	G	Carbohydrate_transport_and_metabolism	Pullulanase/glycogen debranching enzyme
COG1543	G	Carbohydrate_transport_and_metabolism	"Predicted glycosyl hydrolase, contains GH57 and DUF1957 domains"
COG1554	G	Carbohydrate_transport_and_metabolism	Trehalose and maltose hydrolase (possible phosphorylase)
COG1593	G	Carbohydrate_transport_and_metabolism	"TRAP-type C4-dicarboxylate transport system, large permease component"
COG1621	G	Carbohydrate_transport_and_metabolism	"Sucrose-6-phosphate hydrolase SacC, GH32 family"
COG1626	G	Carbohydrate_transport_and_metabolism	Neutral trehalase
COG1638	G	Carbohydrate_transport_and_metabolism	"TRAP-type C4-dicarboxylate transport system, periplasmic component"
COG1640	G	Carbohydrate_transport_and_metabolism	4-alpha-glucanotransferase
COG1653	G	Carbohydrate_transport_and_metabolism	"ABC-type glycerol-3-phosphate transport system, periplasmic component"
COG1803	G	Carbohydrate_transport_and_metabolism	Methylglyoxal synthase
COG1819	G	Carbohydrate_transport_and_metabolism	"UDP:flavonoid glycosyltransferase YjiC, YdhE family"
COG1820	G	Carbohydrate_transport_and_metabolism	N-acetylglucosamine-6-phosphate deacetylase
COG1830	G	Carbohydrate_transport_and_metabolism	"Fructose-bisphosphate aldolase class Ia, DhnA family"
COG1850	G	Carbohydrate_transport_and_metabolism	"Ribulose 1,5-bisphosphate carboxylase, large subunit, or a RuBisCO-like protein"
COG1869	G	Carbohydrate_transport_and_metabolism	D-ribose pyranose/furanose isomerase RbsD
COG1874	G	Carbohydrate_transport_and_metabolism	Beta-galactosidase GanA
COG1877	G	Carbohydrate_transport_and_metabolism	Trehalose-6-phosphatase
COG1879	G	Carbohydrate_transport_and_metabolism	"ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain"
COG1892	G	Carbohydrate_transport_and_metabolism	Phosphoenolpyruvate carboxylase
COG1904	G	Carbohydrate_transport_and_metabolism	Glucuronate isomerase
COG1929	G	Carbohydrate_transport_and_metabolism	Glycerate kinase
COG1980	G	Carbohydrate_transport_and_metabolism	"Archaeal fructose 1,6-bisphosphatase"
COG2017	G	Carbohydrate_transport_and_metabolism	Galactose mutarotase or related enzyme
COG2074	G	Carbohydrate_transport_and_metabolism	2-phosphoglycerate kinase
COG2079	G	Carbohydrate_transport_and_metabolism	2-methylcitrate dehydratase PrpD
COG2115	G	Carbohydrate_transport_and_metabolism	Xylose isomerase
COG2120	G	Carbohydrate_transport_and_metabolism	"N-acetylglucosaminyl deacetylase, LmbE family"
COG2133	G	Carbohydrate_transport_and_metabolism	"Glucose/arabinose dehydrogenase, beta-propeller fold"
COG2140	G	Carbohydrate_transport_and_metabolism	"Oxalate decarboxylase/archaeal phosphoglucose isomerase, cupin superfamily"
COG2152	G	Carbohydrate_transport_and_metabolism	"Predicted glycosyl hydrolase, GH43/DUF377 family"
COG2160	G	Carbohydrate_transport_and_metabolism	L-arabinose isomerase
COG2182	G	Carbohydrate_transport_and_metabolism	Maltose-binding periplasmic protein MalE
COG2190	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system IIA component
COG2211	G	Carbohydrate_transport_and_metabolism	Na+/melibiose symporter or related transporter
COG2213	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, mannitol-specific IIBC component"
COG2220	G	Carbohydrate_transport_and_metabolism	"L-ascorbate metabolism protein UlaG, beta-lactamase superfamily"
COG2271	G	Carbohydrate_transport_and_metabolism	Sugar phosphate permease
COG2273	G	Carbohydrate_transport_and_metabolism	"Beta-glucanase, GH16 family"
COG2301	G	Carbohydrate_transport_and_metabolism	Citrate lyase beta subunit
COG2342	G	Carbohydrate_transport_and_metabolism	"Endo alpha-1,4 polygalactosaminidase, GH114 family (was erroneously annotated as Cys-tRNA synthetase)"
COG2376	G	Carbohydrate_transport_and_metabolism	Dihydroxyacetone kinase
COG2379	G	Carbohydrate_transport_and_metabolism	Glycerate-2-kinase
COG2407	G	Carbohydrate_transport_and_metabolism	L-fucose isomerase or related protein
COG2513	G	Carbohydrate_transport_and_metabolism	"2-Methylisocitrate lyase and related enzymes, PEP mutase family"
COG2704	G	Carbohydrate_transport_and_metabolism	Anaerobic C4-dicarboxylate transporter
COG2706	G	Carbohydrate_transport_and_metabolism	"6-phosphogluconolactonase, cycloisomerase 2 family"
COG2721	G	Carbohydrate_transport_and_metabolism	Altronate dehydratase
COG2723	G	Carbohydrate_transport_and_metabolism	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase
COG2730	G	Carbohydrate_transport_and_metabolism	"Aryl-phospho-beta-D-glucosidase BglC, GH1 family"
COG2731	G	Carbohydrate_transport_and_metabolism	"Beta-galactosidase, beta subunit"
COG2814	G	Carbohydrate_transport_and_metabolism	"Predicted arabinose efflux permease, MFS family"
COG2861	G	Carbohydrate_transport_and_metabolism	"Uncharacterized conserved protein YibQ, putative polysaccharide deacetylase 2 family"
COG2893	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, mannose/fructose-specific component IIA"
COG2942	G	Carbohydrate_transport_and_metabolism	"Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family"
COG2971	G	Carbohydrate_transport_and_metabolism	"BadF-type ATPase, related to human N-acetylglucosamine kinase"
COG3001	G	Carbohydrate_transport_and_metabolism	Fructosamine-3-kinase
COG3010	G	Carbohydrate_transport_and_metabolism	Putative N-acetylmannosamine-6-phosphate epimerase
COG3037	G	Carbohydrate_transport_and_metabolism	Ascorbate-specific PTS system EIIC-type component UlaA
COG3090	G	Carbohydrate_transport_and_metabolism	"TRAP-type C4-dicarboxylate transport system, small permease component"
COG3250	G	Carbohydrate_transport_and_metabolism	Beta-galactosidase/beta-glucuronidase
COG3265	G	Carbohydrate_transport_and_metabolism	Gluconate kinase
COG3280	G	Carbohydrate_transport_and_metabolism	Maltooligosyltrehalose synthase
COG3281	G	Carbohydrate_transport_and_metabolism	Predicted trehalose synthase
COG3325	G	Carbohydrate_transport_and_metabolism	"Chitinase, GH18 family"
COG3345	G	Carbohydrate_transport_and_metabolism	Alpha-galactosidase
COG3347	G	Carbohydrate_transport_and_metabolism	"Rhamnose utilisation protein RhaD, predicted bifunctional aldolase and dehydrogenase"
COG3386	G	Carbohydrate_transport_and_metabolism	Sugar lactone lactonase YvrE
COG3387	G	Carbohydrate_transport_and_metabolism	"Glucoamylase (glucan-1,4-alpha-glucosidase), GH15 family"
COG3405	G	Carbohydrate_transport_and_metabolism	"Endo-1,4-beta-D-glucanase Y"
COG3408	G	Carbohydrate_transport_and_metabolism	"Glycogen debranching enzyme (alpha-1,6-glucosidase)"
COG3414	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, galactitol-specific IIB component"
COG3429	G	Carbohydrate_transport_and_metabolism	"Glucose-6-phosphate dehydrogenase assembly protein OpcA, contains a peptidoglycan-binding domain"
COG3444	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB"
COG3459	G	Carbohydrate_transport_and_metabolism	Cellobiose phosphorylase
COG3469	G	Carbohydrate_transport_and_metabolism	Chitinase
COG3507	G	Carbohydrate_transport_and_metabolism	Beta-xylosidase
COG3525	G	Carbohydrate_transport_and_metabolism	N-acetyl-beta-hexosaminidase
COG3534	G	Carbohydrate_transport_and_metabolism	Alpha-L-arabinofuranosidase
COG3537	G	Carbohydrate_transport_and_metabolism	"Putative alpha-1,2-mannosidase"
COG3588	G	Carbohydrate_transport_and_metabolism	Fructose-bisphosphate aldolase class 1
COG3594	G	Carbohydrate_transport_and_metabolism	Fucose 4-O-acetylase or related acetyltransferase
COG3622	G	Carbohydrate_transport_and_metabolism	Hydroxypyruvate isomerase
COG3623	G	Carbohydrate_transport_and_metabolism	L-ribulose-5-phosphate 3-epimerase UlaE
COG3635	G	Carbohydrate_transport_and_metabolism	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archeal type"
COG3661	G	Carbohydrate_transport_and_metabolism	Alpha-glucuronidase
COG3664	G	Carbohydrate_transport_and_metabolism	Beta-xylosidase
COG3669	G	Carbohydrate_transport_and_metabolism	Alpha-L-fucosidase
COG3684	G	Carbohydrate_transport_and_metabolism	"Tagatose-1,6-bisphosphate aldolase"
COG3693	G	Carbohydrate_transport_and_metabolism	"Endo-1,4-beta-xylanase, GH35 family"
COG3709	G	Carbohydrate_transport_and_metabolism	"Ribose 1,5-bisphosphokinase PhnN"
COG3715	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC"
COG3716	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IID"
COG3717	G	Carbohydrate_transport_and_metabolism	5-keto 4-deoxyuronate isomerase
COG3718	G	Carbohydrate_transport_and_metabolism	5-deoxy-D-glucuronate isomerase
COG3730	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system sorbitol-specific component IIC
COG3731	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system sorbitol-specific component IIA
COG3732	G	Carbohydrate_transport_and_metabolism	Phosphotransferase system sorbitol-specific component IIBC
COG3734	G	Carbohydrate_transport_and_metabolism	2-keto-3-deoxy-galactonokinase
COG3769	G	Carbohydrate_transport_and_metabolism	"Predicted mannosyl-3-phosphoglycerate phosphatase, HAD superfamily"
COG3775	G	Carbohydrate_transport_and_metabolism	"Phosphotransferase system, galactitol-specific IIC component"
COG3822	G	Carbohydrate_transport_and_metabolism	D-lyxose ketol-isomerase
COG3833	G	Carbohydrate_transport_and_metabolism	"ABC-type maltose transport system, permease component"
COG3836	G	Carbohydrate_transport_and_metabolism	2-keto-3-deoxy-L-rhamnonate aldolase RhmA
COG3839	G	Carbohydrate_transport_and_metabolism	"ABC-type sugar transport system, ATPase component"
COG3855	G	Carbohydrate_transport_and_metabolism	"Fructose-1,6-bisphosphatase"
COG3866	G	Carbohydrate_transport_and_metabolism	Pectate lyase
COG3867	G	Carbohydrate_transport_and_metabolism	"Arabinogalactan endo-1,4-beta-galactosidase"
COG3892	G	Carbohydrate_transport_and_metabolism	Myo-inositol catabolism protein IolC
COG3934	G	Carbohydrate_transport_and_metabolism	"Endo-1,4-beta-mannosidase"
COG3936	G	Carbohydrate_transport_and_metabolism	"Membrane-bound acyltransferase YfiQ, involved in biofilm formation"
COG3940	G	Carbohydrate_transport_and_metabolism	"Beta-xylosidase, GH43 family"
COG3954	G	Carbohydrate_transport_and_metabolism	Phosphoribulokinase
COG3957	G	Carbohydrate_transport_and_metabolism	Phosphoketolase
COG3958	G	Carbohydrate_transport_and_metabolism	"Transketolase, C-terminal subunit"
COG3959	G	Carbohydrate_transport_and_metabolism	"Transketolase, N-terminal subunit"
COG3962	G	Carbohydrate_transport_and_metabolism	"TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism"
COG3979	G	Carbohydrate_transport_and_metabolism	Chitodextrinase
COG4124	G	Carbohydrate_transport_and_metabolism	Beta-mannanase
COG4130	G	Carbohydrate_transport_and_metabolism	"Predicted sugar epimerase, xylose isomerase-like family"
COG4154	G	Carbohydrate_transport_and_metabolism	"L-fucose mutarotase/ribose pyranase, RbsD/FucU family"
COG4193	G	Carbohydrate_transport_and_metabolism	Beta- N-acetylglucosaminidase
COG4209	G	Carbohydrate_transport_and_metabolism	"ABC-type polysaccharide transport system, permease component"
COG4211	G	Carbohydrate_transport_and_metabolism	"ABC-type glucose/galactose transport system, permease component"
COG4213	G	Carbohydrate_transport_and_metabolism	"ABC-type xylose transport system, periplasmic component"
COG4214	G	Carbohydrate_transport_and_metabolism	"ABC-type xylose transport system, permease component"
COG4225	G	Carbohydrate_transport_and_metabolism	Rhamnogalacturonyl hydrolase YesR
COG4284	G	Carbohydrate_transport_and_metabolism	UDP-N-acetylglucosamine pyrophosphorylase
COG4451	G	Carbohydrate_transport_and_metabolism	Ribulose bisphosphate carboxylase small subunit
COG4468	G	Carbohydrate_transport_and_metabolism	Galactose-1-phosphate uridylyltransferase
COG4573	G	Carbohydrate_transport_and_metabolism	"Tagatose-1,6-bisphosphate aldolase non-catalytic subunit AgaZ/GatZ"
COG4580	G	Carbohydrate_transport_and_metabolism	Maltoporin (phage lambda and maltose receptor)
COG4632	G	Carbohydrate_transport_and_metabolism	Exopolysaccharide biosynthesis protein related to N-acetylglucosamine-1-phosphodiester alpha-N-acety...
COG4668	G	Carbohydrate_transport_and_metabolism	"Mannitol/fructose-specific phosphotransferase system, IIA domain"
COG4724	G	Carbohydrate_transport_and_metabolism	Endo-beta-N-acetylglucosaminidase D
COG4806	G	Carbohydrate_transport_and_metabolism	L-rhamnose isomerase
COG4809	G	Carbohydrate_transport_and_metabolism	Archaeal ADP-dependent phosphofructokinase/glucokinase
COG4813	G	Carbohydrate_transport_and_metabolism	Trehalose utilization protein
COG4833	G	Carbohydrate_transport_and_metabolism	"Predicted alpha-1,6-mannanase, GH76 family"
COG4975	G	Carbohydrate_transport_and_metabolism	Glucose uptake protein GlcU
COG4993	G	Carbohydrate_transport_and_metabolism	Glucose dehydrogenase
